N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
53,SK바이오팜,"86,600",300,+0.35%,500,"67,819","78,313",6.07,"80,206",-68.24,15.75
54,SK스퀘어,"46,950",600,+1.29%,100,"66,419","141,468",40.27,"317,038",2.91,N/A
55,LG디스플레이,"17,500",350,+2.04%,"5,000","62,618","357,816",16.44,"1,644,577",6.40,9.68
56,한국조선해양,"88,300",200,+0.23%,"5,000","62,493","70,773",20.51,"86,289",-5.18,-8.95
57,한화솔루션,"32,500",750,-2.26%,"5,000","62,166","191,278",18.44,"710,524",9.83,8.79
58,CJ제일제당,"403,000","5,000",+1.26%,"5,000","60,668","15,054",22.71,"33,712",10.21,10.76
59,LG유플러스,"13,600",350,+2.64%,"5,000","59,379","436,611",37.57,"1,148,443",8.33,9.47
60,SKC,"154,500","1,500",-0.96%,"5,000","58,507","37,868",14.68,"118,385",26.49,11.60
61,한온시스템,"10,800",100,-0.92%,100,"57,650","533,800",17.27,"460,042",21.39,13.83
62,강원랜드,"26,800",50,-0.19%,500,"57,336","213,940",19.72,"358,731",-546.94,-0.33
63,맥쿼리인프라,"14,000",50,+0.36%,0,"56,678","404,846",14.80,"494,624",N/A,N/A
64,현대제철,"40,350",200,+0.50%,"5,000","53,845","133,446",20.50,"252,168",3.12,8.54
65,코웨이,"71,400",200,+0.28%,500,"52,693","73,800",61.29,"79,443",11.10,27.41
66,F&F,"135,500","2,500",-1.81%,100,"51,906","38,307",13.51,"158,665",14.90,N/A
67,KODEX 200,"35,100",115,+0.33%,0,"50,316","143,350",1.90,"2,533,818",N/A,N/A
68,에스디바이오센서,"48,300",100,+0.21%,500,"49,880","103,271",12.92,"182,639",4.45,72.47
69,삼성중공업,"5,590",10,+0.18%,"1,000","49,192","880,000",14.37,"1,780,136",-4.14,-36.89
70,미래에셋증권,"7,970",0,0.00%,"5,000","49,041","615,316",13.95,"807,185",5.47,11.66
71,메리츠화재,"39,750",650,+1.66%,500,"47,948","120,625",11.91,"171,177",7.27,26.12
72,한국항공우주,"48,850","1,550",+3.28%,"5,000","47,617","97,475",19.15,"1,476,327",53.86,5.19
73,금호석유,"155,000","1,500",+0.98%,"5,000","46,959","30,296",19.86,"59,311",2.78,47.76
74,HD현대,"58,600","1,400",-2.33%,"1,000","46,290","78,993",16.15,"283,911",86.56,-1.99
75,삼성엔지니어링,"23,550",500,-2.08%,"5,000","46,158","196,000",40.78,"1,662,192",12.19,20.67
76,DB손해보험,"65,000","1,900",+3.01%,500,"46,020","70,800",43.66,"127,411",5.29,13.38
77,현대건설,"41,100",0,0.00%,"5,000","45,767","111,356",23.64,"368,683",11.03,5.89
78,일진머티리얼즈,"94,800",100,+0.11%,500,"43,713","46,111",11.22,"265,852",61.40,7.85
79,유한양행,"59,600","1,100",+1.88%,"1,000","43,646","73,231",17.89,"177,840",43.22,5.45
80,한국타이어앤테크놀로지,"34,900",550,-1.55%,500,"43,232","123,875",37.40,"584,975",7.23,7.69
81,팬오션,"7,960",30,+0.38%,"1,000","42,552","534,570",15.00,"2,411,994",6.47,17.16
82,메리츠금융지주,"32,000","1,300",+4.23%,500,"41,936","131,051",6.87,"134,186",5.43,22.33
83,GS,"45,100",650,-1.42%,"5,000","41,905","92,915",20.20,"323,180",2.95,15.55
84,메리츠증권,"6,060",60,+1.00%,"1,000","39,983","659,791",12.23,"1,122,711",5.19,15.77
85,쌍용C&E,"7,780",10,-0.13%,100,"39,200","503,860",3.21,"286,340",26.02,11.12
86,한국금융지주,"70,100",700,+1.01%,"5,000","39,064","55,726",33.49,"178,032",2.45,27.12
87,한국가스공사,"42,100","1,400",-3.22%,"5,000","38,864","92,313",10.58,"230,036",3.32,11.63
88,삼성카드,"33,400",50,-0.15%,"5,000","38,697","115,859",7.35,"35,534",7.02,7.53
89,두산밥캣,"38,000",600,-1.55%,500,"38,095","100,249",24.46,"161,269",10.27,9.19
90,한미약품,"309,000","8,500",+2.83%,"2,500","38,063","12,318",13.23,"51,058",56.79,8.75
91,오리온,"96,000",0,0.00%,500,"37,955","39,536",35.51,"91,913",14.73,12.75
92,한진칼,"55,000",800,-1.43%,"2,500","36,719","66,761",14.67,"44,276",214.01,1.11
93,현대오토에버,"132,500","3,500",+2.71%,500,"36,337","27,424",1.93,"99,879",46.36,7.26
94,아모레G,"43,600",550,+1.28%,500,"35,952","82,458",15.09,"80,234",28.42,5.49
95,롯데지주,"34,200",0,0.00%,200,"35,879","104,909",7.69,"51,977",12.48,4.61
96,TIGER 차이나전기차SOLACTIVE,"13,895",125,+0.91%,0,"35,238","253,600",0.85,"5,007,248",N/A,N/A
97,NH투자증권,"10,300",100,+0.98%,"5,000","34,162","331,666",14.60,"409,934",3.36,14.77
98,현대차2우B,"93,500",400,+0.43%,"5,000","34,114","36,485",60.86,"50,595",4.98,N/A
99,한미사이언스,"49,500","2,150",+4.54%,500,"33,969","68,624",1.65,"140,587",79.07,6.37
100,삼성증권,"37,950",150,+0.40%,"5,000","33,889","89,300",28.48,"280,981",3.51,16.94
101,이마트,"119,000","2,500",+2.15%,"5,000","33,172","27,876",28.50,"157,281",2.11,16.25
102,DB하이텍,"74,200",700,+0.95%,"5,000","32,944","44,399",23.81,"497,232",7.72,33.35
103,GS건설,"38,150",150,+0.39%,"5,000","32,649","85,581",27.75,"468,697",7.96,9.32
104,BGF리테일,"184,500","1,500",-0.81%,"1,000","31,889","17,284",31.31,"24,387",20.21,19.61
105,현대미포조선,"78,400",100,-0.13%,"5,000","31,315","39,942",11.52,"118,653",-13.69,-7.11
106,KCC,"342,000",500,+0.15%,"5,000","30,392","8,886",9.56,"30,066",-53.61,-0.92
107,한솔케미칼,"266,000","4,500",-1.66%,"5,000","30,152","11,335",35.04,"77,118",20.36,23.88
108,한화시스템,"15,600",200,+1.30%,"5,000","29,471","188,919",3.17,"401,953",30.89,6.04
109,제일기획,"25,550",150,+0.59%,200,"29,393","115,041",31.53,"137,069",17.77,15.58
110,호텔신라,"74,200",200,+0.27%,"5,000","29,122","39,248",13.15,"212,127",109.60,4.51
111,한전기술,"75,200","3,600",-4.57%,200,"28,741","38,220",2.17,"482,072",218.60,3.25
112,포스코인터내셔널,"22,900",300,-1.29%,"5,000","28,253","123,375",7.72,"410,439",6.59,10.86
113,CJ대한통운,"123,000","1,500",-1.20%,"5,000","28,059","22,812",18.59,"42,587",40.69,1.59
114,에스원,"73,200","1,200",+1.67%,500,"27,815","37,999",53.17,"67,503",21.56,9.13
115,롯데쇼핑,"97,600","1,300",+1.35%,"5,000","27,610","28,289",11.12,"53,831",-9.45,-2.94
116,대한전선,"2,205",120,+5.76%,100,"27,441","1,244,473",1.29,"84,262,929",51.28,7.78
117,GS리테일,"26,200",0,0.00%,"1,000","27,436","104,718",6.82,"115,771",3.25,25.58
118,현대해상,"30,650",400,+1.32%,500,"27,401","89,400",29.46,"177,611",6.33,8.82
119,동서,"26,800",0,0.00%,500,"26,720","99,700",2.97,"42,466",23.45,8.05
120,한화에어로스페이스,"52,100",900,+1.76%,"5,000","26,378","50,630",21.47,"246,828",13.06,9.21
121,OCI,"108,000","2,500",-2.26%,"5,000","25,757","23,849",15.36,"264,241",3.46,23.93
122,대우건설,"6,090",30,-0.49%,"5,000","25,311","415,623",11.18,"818,070",5.22,16.47
123,만도,"53,400",400,+0.75%,"1,000","25,075","46,957",19.41,"227,481",15.00,9.31
124,BNK금융지주,"7,630",10,+0.13%,"5,000","24,869","325,935",39.47,"477,626",3.14,8.76
125,하이트진로,"35,350",200,-0.56%,"5,000","24,792","70,134",9.57,"245,642",31.59,6.62
126,두산퓨얼셀,"37,700",250,+0.67%,100,"24,691","65,494",14.71,"543,715",306.50,1.69
127,후성,"26,650",700,+2.70%,500,"24,680","92,607",10.79,"4,693,928",40.26,9.61
128,신세계,"247,500",500,-0.20%,"5,000","24,367","9,845",26.90,"26,136",6.81,8.54
129,키움증권,"92,200","1,600",+1.77%,"5,000","24,174","26,220",24.62,"50,337",2.81,25.38
130,CJ,"82,700",100,-0.12%,"5,000","24,129","29,177",17.45,"22,030",9.66,5.66
131,KODEX 레버리지,"18,635",110,+0.59%,0,"23,266","124,850",2.99,"16,642,575",N/A,N/A
132,현대차우,"93,200",500,+0.54%,"5,000","22,700","24,357",57.24,"36,863",4.96,N/A
133,SK케미칼,"127,000","3,000",+2.42%,"5,000","22,378","17,621",18.63,"50,431",16.14,11.19
134,대우조선해양,"20,650",100,-0.48%,"5,000","22,156","107,291",3.83,"310,539",-1.13,-55.86
